Gene	Log2FoldChange	pvalue
LCN12	-0.34	0.0723
CCDC172	-0.05	0.0724
COBL	0.23	0.0725
PGA4	0.25	0.0726
ENTPD2	-0.48	0.0727
FDFT1	0.23	0.0727
CHD2	-0.12	0.0727
MON1B	-0.14	0.0728
FAHD2A	-0.22	0.0728
QRICH2	-0.32	0.0728
DUS3L	0.15	0.0728
RAB40C	-0.13	0.0729
RAC2	0.36	0.0729
FXYD6	-0.29	0.0729
IWS1	0.1	0.0729
ANGPTL2	-0.33	0.0729
CDC16	0.13	0.073
ZNF192P1	-0.31	0.0731
MPHOSPH6	0.17	0.0731
CD53	0.33	0.0731
SUSD4	-0.81	0.0732
MPP1	-0.24	0.0733
FOXL2NB	-0.19	0.0734
SNHG12	0.27	0.0734
LRRC75B	0.27	0.0735
GATA2	-0.37	0.0735
GUSBP3	-0.29	0.0736
GPD2	0.22	0.0736
SLC6A4	0.42	0.0736
FBXW4	-0.16	0.0737
PYGL	-0.25	0.0738
DBX1	-0.05	0.0738
NSUN2	0.1	0.0738
NIT2	-0.16	0.0738
MIR31HG	0.28	0.0738
CLDN6	0.59	0.0738
ABCC5	0.2	0.0739
MAGEF1	0.16	0.074
FAM20C	-0.23	0.074
LACTB2	0.23	0.074
IGF2BP2-AS1	-0.38	0.0741
PHB2	0.13	0.0741
MCU	0.14	0.0741
SLC41A1	-0.36	0.0741
DNPH1	0.18	0.0741
PIGT	-0.13	0.0741
NTSR2	-0.16	0.0741
DAO	-0.63	0.0742
SNORA10	0.11	0.0742
AKAP7	0.3	0.0742
BRAF	0.19	0.0743
ZNF529	0.2	0.0743
ZNF195	0.14	0.0744
EGR4	0.29	0.0744
KIF6	0.53	0.0744
COL9A3	-0.66	0.0744
C5AR2	0.46	0.0744
SFR1	0.16	0.0745
IQSEC2	-0.28	0.0745
STEEP1	0.21	0.0746
UQCC1	-0.11	0.0746
TNNI2	0.48	0.0746
SWT1	0.16	0.0746
IFI27L1	-0.21	0.0747
C2ORF88	0.35	0.0747
ERGIC2	0.15	0.0747
RAE1	0.13	0.0747
C9ORF43	0.24	0.0747
LENEP	-0.12	0.0747
MYH11	-0.55	0.0747
VSNL1	0.57	0.0748
RNF208	-0.23	0.0748
TNFRSF12A	0.31	0.0748
PITPNM1	-0.24	0.0748
VMAC	-0.16	0.0749
FMO4	-0.4	0.0749
TMEM105	-0.54	0.0749
KRTAP5-9	-0.27	0.0749
FAM210B	-0.19	0.0749
STAT6	0.15	0.075
NPC1L1	0.88	0.075
WDPCP	-0.24	0.0751
MXRA5	-0.52	0.0752
THY1	-0.31	0.0752
ARHGEF16	-0.71	0.0752
WDR72	0.52	0.0753
TMEM205	-0.2	0.0754
PTPN1	0.13	0.0754
STOML3	-0.13	0.0754
ARHGEF19	-0.41	0.0755
CLDN9	-0.4	0.0755
KRT8P41	0.24	0.0755
GPR65	0.3	0.0755
SPACA5	-0.07	0.0755
GGT5	-0.46	0.0756
RELB	0.22	0.0757
PRSS57	-0.15	0.0757
E2F6	0.15	0.0757
PDX1	0.85	0.0757
FH	-0.21	0.0757
UNC5D	0.59	0.0757
ENTPD7	-0.2	0.0757
OR11A1	0.23	0.0758
CCDC190	-0.08	0.0758
BCRP3	0.38	0.0758
ARMCX6	0.39	0.0758
PTPDC1	0.2	0.0758
LCOR	0.19	0.0758
ERH	0.1	0.0759
COX5A	-0.14	0.0759
SCARNA9	0.25	0.0759
AGR3	0.46	0.076
MAP3K8	0.33	0.076
ALB	-0.49	0.0761
CMAS	-0.15	0.0761
MAD2L1	0.33	0.0761
CACNA1S	-0.23	0.0761
ACY3	-0.48	0.0762
RNF43	0.38	0.0763
ZDHHC11	-0.42	0.0763
PAXIP1-AS2	-0.21	0.0763
SCARNA9L	0.1	0.0763
ZNF114	-0.23	0.0763
ADRA1D	0.56	0.0763
SRSF6	0.1	0.0764
SULT1E1	0.74	0.0764
HYLS1	-0.17	0.0764
KPNA7	-0.43	0.0765
SIGLEC12	0.45	0.0765
PCDHGB8P	-0.21	0.0765
TAS2R10	-0.15	0.0765
SOCS4	-0.16	0.0766
HEXA-AS1	-0.28	0.0766
CYP4Z1	-0.31	0.0766
FIP1L1	0.11	0.0767
CTAGE6	-0.3	0.0767
CCR1	0.32	0.0767
MORC4	0.2	0.0768
TRIM7	-0.37	0.0768
ZFYVE9	-0.15	0.0768
ICOS	0.46	0.0769
MVP	-0.26	0.0769
SCIMP	0.35	0.077
HPYR1	0.07	0.077
FAM234B	-0.2	0.077
EPHA4	-0.37	0.077
SERPINA10	-0.37	0.077
FAM224B	0.6	0.0771
TMEM14B	0.15	0.0771
TIMM23	0.11	0.0771
FAM24B	0.43	0.0771
IL11	-0.34	0.0772
NGFR	-0.51	0.0772
CDC23	0.14	0.0772
NLRP8	-0.05	0.0772
MFSD8	-0.13	0.0773
NOC2LP2	0.2	0.0773
NLRP4	-0.25	0.0774
RBBP6	-0.12	0.0774
GHDC	0.17	0.0774
SIK3	0.13	0.0775
CD2AP	0.16	0.0775
ADAMDEC1	0.59	0.0776
HLF	0.48	0.0776
SUN2	-0.19	0.0777
SMIM26	0.15	0.0777
BPIFC	-0.08	0.0777
ABTB1	-0.18	0.0777
NHSL1	-0.26	0.0777
LONP1	-0.15	0.0778
GAL3ST1	0.62	0.0778
HSPA12A	-0.36	0.0779
INPP5J	-0.42	0.0779
DCTN1-AS1	0.1	0.0779
RECK	-0.34	0.0779
F3	0.46	0.078
CADM2	0.49	0.0781
EIF2B5	0.09	0.0781
LRRC49	-0.33	0.0782
UBAP2L	0.16	0.0782
ZNF25	-0.19	0.0782
DHTKD1	-0.28	0.0782
NPPB	0.37	0.0783
C3AR1	0.3	0.0783
GNG3	-0.21	0.0784
WDR5	0.14	0.0784
FAM86C1P	0.14	0.0784
SLC39A7	-0.15	0.0784
MAP3K20	-0.22	0.0785
EMD	-0.14	0.0785
CAPZB	-0.12	0.0785
CACNG7	-0.09	0.0785
FNDC1	-0.71	0.0785
TRMT9B	-0.58	0.0786
ASH1L	-0.22	0.0786
DDB2	-0.19	0.0787
KAZALD1	-0.4	0.0788
IGF2BP1	1.02	0.0789
ALOX15B	-0.57	0.0789
HSD17B14	-0.54	0.079
SLC2A12	-0.38	0.079
SRSF9	0.12	0.079
TCP10L	0.6	0.079
ZNF277	0.13	0.079
AEN	0.18	0.0791
GALE	-0.21	0.0791
ECI2	-0.22	0.0791
GPR151	0.05	0.0792
TBCD	-0.13	0.0792
ZMYM6	-0.13	0.0794
SLC1A4	0.22	0.0794
PTENP1	0.13	0.0794
SEMA7A	0.4	0.0794
KLK3	-0.43	0.0794
PCDH1	-0.28	0.0794
ENPEP	-0.33	0.0795
SYTL5	0.45	0.0795
CSTF3	0.11	0.0795
STX6	0.16	0.0795
RAB39A	0.32	0.0796
LIG3	0.14	0.0796
KPNA6	-0.13	0.0797
GABRB1	0.3	0.0797
FAM193B	-0.17	0.0797
EMCN	-0.3	0.0798
KCTD6	0.24	0.0799
VAT1	0.21	0.0799
MFSD11	-0.14	0.0799
ARMS2	-0.18	0.08
PIK3R1	-0.26	0.08
TYMS	0.31	0.0801
SLC38A1	0.44	0.0801
FBXW7	-0.14	0.0801
MS4A7	0.32	0.0801
IPPK	0.17	0.0801
PMPCA	0.16	0.0801
MYH7B	-0.51	0.0801
IMPA1	0.16	0.0802
NOMO1	-0.15	0.0802
VPS51	0.14	0.0802
KCNC2	-0.48	0.0802
IRAG1	-0.33	0.0803
CD36	0.39	0.0804
IFT74	0.16	0.0804
DUS2	0.16	0.0804
SEMA4A	0.37	0.0805
R3HCC1	0.16	0.0806
POM121L9P	-0.33	0.0807
SEC23A	-0.19	0.0807
GPKOW	0.11	0.0807
ARHGAP32	-0.2	0.0808
PLEKHG4B	-0.5	0.0809
C11ORF86	0.35	0.0809
HMGN2	-0.16	0.081
GNG10	0.14	0.0811
CASP4	0.22	0.0811
ANG	-0.4	0.0811
FAM205BP	-0.05	0.0812
GADD45G	-0.45	0.0812
FABP4	-0.63	0.0814
KRTCAP3	-0.69	0.0814
XYLT2	-0.14	0.0814
C1ORF52	0.13	0.0814
SSX3	-0.33	0.0815
PRXL2A	-0.19	0.0815
CCDC97	0.13	0.0816
CMPK1	-0.13	0.0816
LINC00662	0.15	0.0817
COX7A1	-0.32	0.0817
RASL10A	-0.24	0.0818
HEXA	-0.17	0.0818
TBX6	-0.28	0.0818
GBA3	-0.69	0.0818
MME	-1.03	0.0819
CDCP2	-0.15	0.0819
TUB	-0.6	0.0819
ACMSD	-0.53	0.0819
MMAA	-0.2	0.082
PAFAH2	-0.18	0.0821
TSSK4	-0.25	0.0821
THUMPD2	0.16	0.0821
IL10	0.35	0.0822
SLC31A1	-0.17	0.0823
ZNF627	-0.16	0.0823
DAW1	0.16	0.0824
RNF128	-0.25	0.0825
PIGK	-0.17	0.0825
RAB29	0.15	0.0825
GPT2	-0.4	0.0825
CDC42EP1	0.25	0.0826
UBE2Q2	0.27	0.0826
COX4I2	-0.32	0.0826
NUMB	-0.12	0.0826
DHH	-0.35	0.0826
TSNARE1	0.25	0.0827
PSMD6	0.09	0.0827
ZNF774	-0.22	0.0827
ARHGAP24	-0.28	0.0827
TC2N	-0.56	0.0827
WNT10A	0.42	0.0827
QRSL1	0.14	0.0827
METTL21A	0.15	0.0828
IL36G	-0.2	0.0829
SPCS1	0.14	0.083
TBL1X	0.19	0.083
WBP1	-0.16	0.083
LGALS12	-0.23	0.083
KIF7	0.4	0.0832
MGAM2	-0.23	0.0832
NPTX2	-0.74	0.0832
GTPBP6	0.15	0.0833
GOLM2	-0.14	0.0834
PCCB	-0.17	0.0834
ARSJ	-0.52	0.0835
RHEB	0.1	0.0836
SEC23IP	0.13	0.0836
NLRP9	-0.26	0.0837
ABI3BP	-0.51	0.0837
CYB5R2	-0.45	0.0837
GABBR1	-0.39	0.0837
PTH1R	-0.49	0.0838
H2AC6	0.29	0.0839
PEAK1	-0.17	0.0839
CLEC19A	-0.03	0.084
HRCT1	0.56	0.084
BATF	0.44	0.084
TRIM50	-0.7	0.0841
HAAO	-0.33	0.0841
UPK2	-0.19	0.0842
GFER	-0.15	0.0842
TTI1	0.11	0.0843
CYB5R3	-0.17	0.0843
LIN28A	0.44	0.0844
ZNF296	0.41	0.0844
DCAF12L2	-0.16	0.0844
CRLF2	-0.31	0.0845
LINC02693	-0.37	0.0846
PSMD2	-0.11	0.0846
AGFG1	0.13	0.0846
DSCR9	0.22	0.0846
LYPLAL1	-0.17	0.0847
AGL	-0.2	0.0847
ACTG1P25	-0.47	0.0847
HNRNPCL2	-0.21	0.0848
SLC46A2	-0.33	0.0848
NUP160	0.15	0.0848
OTUD6A	-0.04	0.0848
CFHR2	-0.63	0.0849
PBK	0.4	0.0849
F2RL3	-0.42	0.0849
PHKB	-0.16	0.0849
NCOA1	-0.14	0.0849
TXNDC16	-0.21	0.0849
PRDM14	0.14	0.085
ZNRF2	-0.15	0.085
PPT1	0.2	0.085
TP53I13	-0.28	0.085
IST1	0.11	0.0851
LRRC32	-0.3	0.0851
PPP2R5B	-0.12	0.0851
C10ORF88	0.13	0.0851
TEKT5	-0.4	0.0851
SH3GL2	-0.27	0.0851
NMRK1	-0.21	0.0852
CYP8B1	-0.86	0.0853
FOLH1B	0.75	0.0853
CSNK1G1	0.14	0.0854
GPR101	-0.08	0.0854
CYP4F29P	0.33	0.0855
PILRA	0.28	0.0855
CACYBP	0.17	0.0855
IRS2	0.28	0.0855
MT1L	0.59	0.0856
MRPS17	0.17	0.0856
ARID5A	0.2	0.0856
XIAP	-0.14	0.0857
TSPO2	0.44	0.0858
LCN15	0.32	0.0859
IRAG2	0.28	0.0859
FAM131A	0.13	0.0859
GDF6	-0.4	0.086
DCLRE1A	-0.13	0.086
UBR3	-0.16	0.0861
ZSCAN12	0.2	0.0861
TIMP1	-0.45	0.0862
ADRA2A	-0.51	0.0862
NCKIPSD	-0.12	0.0862
CCDC140	-0.04	0.0862
TTF1	0.13	0.0862
APOC4	-0.78	0.0862
TMED7	-0.12	0.0863
NSUN5	0.14	0.0863
TGM4	0.34	0.0863
CPT2	-0.22	0.0864
EWSAT1	-0.31	0.0864
GPC4	-0.54	0.0864
PRR16	-0.34	0.0865
MAP2	0.43	0.0865
GOLGA2P10	0.26	0.0865
PTX3	-0.4	0.0865
COL8A2	-0.49	0.0865
KCNAB3	0.23	0.0865
ZNF554	-0.16	0.0866
MIDEAS	0.19	0.0866
CCDC112	0.34	0.0866
URAHP	0.29	0.0866
CYP4F3	-0.49	0.0867
MRM1	0.2	0.0867
GZMB	0.41	0.0867
TNFAIP8L3	-0.44	0.0867
UBE2G2	0.11	0.0867
BDKRB2	-0.48	0.0868
CATSPERD	-0.07	0.0868
LINC01547	-0.25	0.0868
PHAF1	0.16	0.0868
SMAD6	-0.31	0.0868
HOXB4	-0.28	0.0868
ZBTB4	-0.18	0.0869
CACNA1A	-0.26	0.087
TAS2R46	0.09	0.087
VPS37C	0.13	0.087
PLEKHM1	-0.12	0.0871
RNPS1	0.12	0.0871
CCAR2	0.14	0.0871
ZSCAN32	-0.11	0.0871
RAP1A	0.12	0.0871
ECM2	-0.36	0.0872
PRAME	0.99	0.0872
ZNF185	0.23	0.0872
RAD17	0.09	0.0873
RANBP9	-0.14	0.0874
NT5DC1	-0.18	0.0874
MIR503HG	-0.29	0.0875
FAM184B	0.23	0.0875
TRMT2A	0.12	0.0875
SHISA4	-0.4	0.0877
DNAJC4	-0.28	0.0877
ZNF283	0.28	0.0877
SLC25A3	0.12	0.0877
FCGBP	0.42	0.0878
PRELP	-0.58	0.0878
SELENOP	-0.31	0.0878
ATP8B4	-0.24	0.0879
KNDC1	-0.86	0.0879
ALDH1L2	-0.35	0.0879
ZFP36	0.28	0.0879
RAD54B	0.28	0.088
HSPA4L	0.32	0.088
RABIF	-0.11	0.088
BUB1	0.41	0.088
THAP4	0.11	0.0881
TMEM131	-0.11	0.0881
ABHD11	-0.21	0.0881
DPYSL2	-0.25	0.0882
GPAA1	0.22	0.0882
MS4A3	-0.07	0.0882
KIF4B	0.23	0.0882
ANKRD23	-0.22	0.0882
C9ORF57	-0.38	0.0884
ZC3H13	-0.2	0.0885
TUBB	0.18	0.0885
DACH2	0.39	0.0885
UOX	-0.08	0.0886
SIRPA	-0.27	0.0887
JCAD	-0.28	0.0888
PLCB2	0.28	0.0888
EVX1	-0.24	0.0888
COL1A2	-0.46	0.0888
NKAIN4	-0.19	0.0889
IZUMO4	-0.37	0.089
SC5D	-0.28	0.089
ZFP36L1	0.17	0.089
NOXA1	-0.3	0.0891
SERHL	0.24	0.0891
CMTR2	-0.18	0.0892
CD59	-0.16	0.0892
USP38	-0.19	0.0892
GRAMD1C	-0.39	0.0893
AAR2	0.09	0.0893
ZBED9	0.45	0.0893
EIF2B1	0.1	0.0894
TOR1A	-0.13	0.0894
SERPINA1	0.28	0.0895
DEFB132	-0.57	0.0896
PGM3	0.19	0.0896
TMEM86A	-0.22	0.0897
OSBPL1A	-0.28	0.0897
KLRC3	0.33	0.0898
CDC42BPB	-0.12	0.0898
MYEOV	0.67	0.0898
PML	-0.14	0.0898
LRCH4	-0.13	0.0899
DIABLO	0.13	0.0899
GPR155	-0.24	0.0899
SRSF8	-0.2	0.09
WBP11	0.12	0.09
ABCA11P	0.2	0.09
RAB8A	-0.12	0.09
ENAH	0.21	0.0902
FRG2C	-0.11	0.0902
PIP5K1C	-0.15	0.0902
VASP	0.18	0.0902
ATP8B3	-0.35	0.0903
HSPA12B	-0.24	0.0904
TBC1D25	0.09	0.0904
PDK3	-0.29	0.0905
SDK1	-0.65	0.0905
DNAJC11	-0.12	0.0905
PDSS1	0.17	0.0905
FOXD4	-0.3	0.0906
LMLN	-0.28	0.0907
DPH7	0.17	0.0907
H4-16	-0.22	0.091
RETNLB	-0.17	0.091
PCDHB15	-0.36	0.091
CARD11	0.4	0.0911
GFAP	-0.56	0.0912
TMPO-AS1	-0.23	0.0912
CRB2	0.36	0.0913
DSTN	-0.14	0.0914
KLHDC10	-0.25	0.0914
RNASEL	-0.32	0.0914
SKAP1	0.38	0.0914
SNORD115-26	0.24	0.0914
CRYAB	0.52	0.0914
NUP133	0.12	0.0914
UBE2B	0.12	0.0915
ACAD10	-0.17	0.0915
CHMP1B	0.11	0.0915
COX6A1	-0.15	0.0915
SEC31B	-0.29	0.0915
PRDM9	0.38	0.0917
MSRA	0.26	0.0917
EGLN1	-0.13	0.0918
FSTL4	-0.59	0.0918
PGLYRP4	0.26	0.0918
ZNF41	-0.18	0.0919
SSU72	-0.13	0.0919
DAB2	0.3	0.0919
FAM71D	0.18	0.092
TPI1P2	-0.24	0.092
TMEM184C	-0.15	0.092
DRC7	0.35	0.0921
PIH1D1	0.14	0.0921
AKIRIN2	0.16	0.0921
SLC25A20	-0.21	0.0921
ILRUN	-0.15	0.0922
HAR1A	-0.34	0.0922
TBL1XR1	0.12	0.0923
PPFIA2	-0.24	0.0924
H3-3B	-0.13	0.0924
MOCS1	-0.23	0.0925
CYCS	-0.15	0.0925
RGS10	0.28	0.0925
ALKBH2	0.22	0.0926
CD48	0.35	0.0926
GTF2H3	0.19	0.0926
LHFPL6	-0.28	0.0926
RCOR3	-0.17	0.0927
TLR3	-0.36	0.0927
PSD	-0.35	0.0927
SNRPD3	0.13	0.0928
DNASE1	-0.27	0.0928
NSUN5P2	-0.23	0.0928
TMEM138	-0.12	0.0928
FAM3A	-0.17	0.0928
THTPA	-0.14	0.0929
KICS2	0.14	0.093
SLC25A29	-0.21	0.093
HEPH	-0.35	0.0931
PNMA3	0.71	0.0931
RHBDF2	0.24	0.0932
RNF183	0.39	0.0933
CYP17A1	-0.85	0.0933
EMX1	-0.61	0.0933
SUPV3L1	0.1	0.0935
ZMYM3	0.17	0.0935
ELAPOR1	0.56	0.0935
MAGED4B	0.86	0.0936
SH2D7	0.2	0.0936
WNT3A	0.7	0.0937
ELL2	0.23	0.0938
HSPG2	-0.26	0.0938
ZFAND2A	0.2	0.0938
DDX4	-0.14	0.0938
XKR8	-0.17	0.0939
WWP2	-0.12	0.0939
PLEKHM1P1	-0.17	0.0939
ADIRF	-0.6	0.0939
LINC00324	-0.21	0.094
LRRN4CL	-0.36	0.094
CSF1	0.29	0.0941
SLC39A2	-0.18	0.0941
VGF	0.55	0.0942
ESYT2	-0.13	0.0942
NPPA	-0.25	0.0942
PSMA5	0.16	0.0943
ZNF142	0.14	0.0943
PARD6G-AS1	-0.29	0.0944
LINGO3	-0.19	0.0944
CCR6	0.52	0.0944
RACGAP1P1	0.2	0.0944
HCCS	0.1	0.0944
SYNJ1	-0.16	0.0945
TP53I11	-0.22	0.0946
MRM3	0.15	0.0946
TOP2B	0.11	0.0947
FAM83A-AS1	-0.79	0.0947
TEX264	-0.12	0.0947
SS18L1	-0.17	0.0947
SPATA7	0.16	0.0947
CCDC3	-0.37	0.0947
TNFRSF11B	0.63	0.0947
OTUB1	0.12	0.0948
JAG2	-0.31	0.0948
CARD9	0.32	0.0948
ERBIN	-0.13	0.0948
ALCAM	0.17	0.0948
MAGEB2	-0.68	0.0948
TIMP2	-0.33	0.0949
NBEAL1	-0.26	0.0949
METTL6	0.12	0.0949
SH3GLB1	0.12	0.0949
HIP1	-0.32	0.0949
FRZB	-0.36	0.0949
KPNA1	-0.1	0.0949
LINC00671	-0.34	0.095
ANXA11	0.12	0.095
CNTRL	0.2	0.095
RASGRF1	-0.46	0.095
ZNF280D	-0.17	0.0951
ME2	0.17	0.0951
KIF15	0.46	0.0951
SOD3	-0.52	0.0952
DPRX	-0.05	0.0952
CSMD2	-0.47	0.0952
CENPJ	0.22	0.0953
SHOC2	-0.11	0.0953
SF3A3	0.12	0.0953
FAM218A	-0.25	0.0954
TCEAL9	0.36	0.0954
NXPE2	-0.06	0.0954
ATXN3L	-0.03	0.0954
SQLE	0.38	0.0955
TBX10	-0.4	0.0957
CCDC144A	-0.36	0.0957
UBE2NL	0.22	0.0957
IFI6	-0.4	0.0958
VGLL3	-0.41	0.0959
IL17D	-0.55	0.0959
DOCK2	0.34	0.0959
PIM3	0.19	0.0959
TUBAL3	0.33	0.0959
TTC37	0.22	0.0959
LINC02347	0.09	0.0959
HINT2	-0.21	0.0959
DUSP8	0.27	0.096
LINC00957	-0.27	0.0961
CHRNG	0.13	0.0962
ENGASE	-0.19	0.0962
GTF3C5	0.12	0.0962
KDELR2	-0.1	0.0962
MCOLN2	0.4	0.0963
OGFRL1	0.24	0.0963
ZXDB	-0.26	0.0963
LINC00643	0.15	0.0963
CLCA1	-0.13	0.0964
HECW1	0.5	0.0964
RPS4Y1	1.18	0.0965
RANBP2	0.11	0.0966
ZNF331	0.49	0.0966
B3GALT6	-0.15	0.0967
ASPH	0.28	0.0967
COLQ	-0.23	0.0967
IQCN	-0.38	0.0968
ALDH3A1	1.03	0.0968
DLK2	0.51	0.0969
HLA-DRA	0.33	0.097
RIMBP3C	-0.21	0.097
PCP2	-0.29	0.097
EREG	0.66	0.097
SNORD116-28	0.41	0.097
FXYD2	0.95	0.097
RASSF5	-0.29	0.0971
ARMH4	-0.37	0.0971
CIART	-0.4	0.0971
BICC1	0.71	0.0971
TUBA3C	-0.59	0.0971
TJAP1	0.12	0.0972
ACER2	0.3	0.0972
CARM1	0.12	0.0972
KRT1	-0.25	0.0973
H2AC15	-0.24	0.0973
TGIF2LX	-0.27	0.0973
HIGD1B	-0.29	0.0973
MRPS10	0.1	0.0973
SLC25A47	0.8	0.0974
SMIM11A	0.15	0.0974
UGT2B15	-0.58	0.0976
PLEKHG2	0.24	0.0976
LOXHD1	-0.23	0.0976
NECTIN1	-0.29	0.0977
TMEM59L	-0.37	0.0977
DEPDC4	0.19	0.0978
CXXC4	-0.28	0.0978
SERPINB5	-0.31	0.0978
CRAT	-0.18	0.0978
MYOM1	0.4	0.0979
SOX13	-0.16	0.098
KIAA0753	0.18	0.0981
NXPH2	0.31	0.0981
FUT1	-0.31	0.0982
ASL	-0.32	0.0982
CACNA1D	-0.44	0.0983
EVI2A	0.28	0.0983
ITGA11	-0.42	0.0983
BUB3	0.11	0.0983
NUDT11	-0.32	0.0984
MORC2-AS1	0.15	0.0984
IFIT1	-0.39	0.0984
DICER1-AS1	-0.25	0.0984
FOXD2-AS1	-0.32	0.0984
COLGALT1	0.13	0.0985
PPIL4	0.14	0.0986
PLTP	0.45	0.0986
CASK	-0.16	0.0986
ARGFXP2	-0.12	0.0987
SGO2	0.3	0.0987
ONECUT3	-0.1	0.0988
ITSN2	-0.13	0.0988
MYH1	-0.37	0.0988
PTRHD1	0.16	0.0988
ANO5	-0.55	0.0988
SMIM4	0.21	0.0989
LSP1P4	0.38	0.099
OR5M11	-0.05	0.099
UQCRC1	-0.13	0.099
DCTPP1	0.16	0.099
MTMR11	0.4	0.099
GPR158-AS1	-0.03	0.099
CCL21	-0.72	0.0991
LINC00240	-0.27	0.0991
NUDT3	-0.1	0.0992
NTRK3	-0.34	0.0992
GPAT3	0.39	0.0992
ST8SIA3	0.51	0.0993
LPAR3	-0.34	0.0993
RUNX1-IT1	-0.08	0.0994
TRAPPC3L	0.17	0.0994
SLC18B1	0.23	0.0994
CPEB3	-0.29	0.0995
RPS2P32	0.35	0.0995
COL3A1	-0.47	0.0995
NSMCE3	-0.12	0.0996
ACTR5	-0.18	0.0996
NINJ2	0.39	0.0996
SUPT20H	0.15	0.0997
TMEM50B	-0.13	0.0997
CERKL	0.27	0.0997
RPF1	0.14	0.0998
FGL2	0.3	0.0998
POLM	-0.11	0.0998
RMC1	-0.12	0.0998
SEC61A2	-0.18	0.0998
MAB21L1	-0.23	0.0999
PLAC8	0.51	0.0999
DDX11L2	-0.4	0.0999
HAND2-AS1	-0.55	0.1
DDOST	-0.14	0.1
YIPF6	-0.15	0.1
TDG	0.15	0.1
BMP10	0.35	0.1
L3MBTL3	0.28	0.1
LINC00310	-0.23	0.1
AOC4P	-0.46	0.1
H4C12	-0.1	0.1
UBR1	-0.13	0.1
UBE3A	-0.1	0.1
NTS	0.97	0.1
GALM	-0.19	0.1
SNRNP200	0.1	0.1
CCDC137	0.17	0.1
GGTA1	0.22	0.101
STK32C	0.26	0.101
TDGF1	-0.61	0.101
ANKRD53	-0.4	0.101
HIPK4	0.2	0.101
MSL3P1	0.31	0.101
CHRD	0.28	0.101
PLIN2	0.32	0.101
TECR	-0.13	0.101
IGFBP2	0.54	0.101
CAPN11	-0.21	0.101
TTLL7	-0.46	0.101
GJC2	-0.34	0.101
CDC45	0.36	0.101
SBF1P1	0.14	0.101
GJB5	-0.3	0.101
ZNF534	-0.22	0.101
BFSP2	-0.34	0.101
CACNB2	-0.31	0.101
PANX1	0.18	0.101
C4ORF47	0.27	0.101
GPX8	-0.32	0.101
TMED6	0.47	0.101
SYNE3	-0.28	0.101
RORB	-0.21	0.101
TFDP3	-0.53	0.101
BORCS8	-0.13	0.101
DPRXP4	-0.15	0.101
DLG5	0.23	0.101
RPL23AP53	0.2	0.101
TRIM67	0.37	0.101
MIA	0.35	0.101
VPREB3	-0.3	0.101
INSIG1	-0.44	0.101
OR1C1	0.05	0.102
DYNLT4	-0.29	0.102
KCTD11	-0.17	0.102
ATP9B	-0.15	0.102
KHDRBS1	0.09	0.102
EPB41L1	-0.37	0.102
ROBO4	-0.22	0.102
MAP3K7CL	-0.23	0.102
SYT15	0.44	0.102
DUSP5P1	-0.41	0.102
KIF19	0.35	0.102
USP32	-0.14	0.102
PCDHGA6	-0.36	0.102
UBE2D2	0.09	0.102
FAM43A	0.28	0.102
PTPRB	-0.34	0.102
AQP10	-0.44	0.102
DSG4	0.28	0.102
DIAPH3	0.37	0.102
KCNK2	-0.39	0.102
SAP30BP	0.11	0.102
ADAM19	0.22	0.102
TAAR1	-0.09	0.102
FREM2	-0.71	0.102
RABL3	-0.09	0.102
NOMO2	-0.24	0.102
AATK	-0.35	0.102
VAPA	0.11	0.102
CCDC90B	0.1	0.102
CSAG1	-0.68	0.102
FES	-0.35	0.102
PCDHB18P	-0.28	0.102
RPH3AL	-0.21	0.103
SEC61G	0.17	0.103
MYO7B	-0.54	0.103
IGFN1	-0.44	0.103
EHHADH	-0.39	0.103
NFATC4	-0.29	0.103
CETN4P	0.23	0.103
KCND1	-0.28	0.103
MED14	-0.15	0.103
ALDOC	-0.44	0.103
SMPX	0.58	0.103
ZNF300P1	-0.42	0.103
EXOC3L2	-0.21	0.103
ZFPM2	-0.38	0.103
GRB7	0.33	0.103
SETD1A	-0.1	0.103
IFNW1	-0.03	0.103
FAM151A	0.63	0.103
KCNE1	-0.35	0.103
TMEM179	-0.15	0.103
PLPP7	-0.32	0.103
AURKB	0.39	0.104
ZNF497	-0.15	0.104
COTL1	0.29	0.104
SLCO5A1	0.37	0.104
PDLIM5	-0.17	0.104
ZNF253	-0.15	0.104
GPSM3	0.24	0.104
ENAM	0.46	0.104
GALNS	-0.17	0.104
LINC00526	-0.32	0.104
GPR146	-0.23	0.104
XAGE3	-0.15	0.104
NEUROG3	0.17	0.104
SMAD3	0.16	0.104
NCAPH	0.35	0.104
ASB13	-0.19	0.104
ARPP21	-0.54	0.104
PKP2	0.24	0.104
SIAE	-0.26	0.104
MIMT1	0.33	0.104
UGT1A8	0.57	0.104
UNC119B	0.22	0.104
CRB3	-0.21	0.104
LAMA5	-0.3	0.104
SLC13A5	0.63	0.104
C3ORF18	-0.23	0.104
ACTR3	0.12	0.104
TBC1D22A	0.12	0.104
CAMK4	0.33	0.104
ARHGEF28	0.28	0.104
AGAP3	0.12	0.104
LYNX1	-0.49	0.104
SPATA31D4	-0.02	0.105
CAPN1	-0.13	0.105
CD34	-0.2	0.105
CYBC1	-0.14	0.105
C2ORF72	0.23	0.105
BEX2	0.76	0.105
AP1B1	-0.11	0.105
